key,value
open/close,<size\=80%\>mở/đóng
flip page,lật trang
HOW TO NOT DIE,CÁCH ĐỂ\n\n\nKHÔNG HẸO
A Guide by,Một cẩm nang bởi
Scoutmaster Myres,Trưởng Hướng Đạo Myres
PREFACE,LỜI NÓI ĐẦU
"r:""^(.+)Ahh...........(.+)$""","Ahh........... Mẹ thiên nhiên.\n\n\tTrong thế giới này, còn gì tuyệt vời hơn việc đứng trên đỉnh một ngọn núi kỳ vĩ, cảm nhận làn gió thổi qua tóc, và cắn một thanh ngũ cốc ngon lành? Nhưng tất nhiên, thiên nhiên không chỉ là một trò chơi, một cảnh tượng ta có thể thong thả chiêm ngưỡng qua màn hình! Thiên nhiên rất đẹp nhưng cũng rất nguy hiểm. Cảnh quan trên độ cao 3.000 mét, tất nhiên, đẹp hơn nhiều so với cảnh quan trên bàn thờ! (XoX)\n\n\tTrong suốt 40 năm làm trưởng hướng đạo, tôi đã tích lũy được rất nhiều quy tắc sinh tồn trong những vùng hoang dã nguy hiểm, và những quy tắc này sẽ giúp bạn đối phó với những tình huống hiếm hoi, khi các hoạt động hướng đạo rẽ sang hướng thảm khốc. Nhưng tất nhiên, những quy tắc này đều chẳng là gì so với quy tắc thiêng liêng nhất của hướng đạo..."
RULE 0\n,QUY TẮC SỐ 0\n
NEVER ABANDON A FRIEND IN NEED!,ĐỪNG BỎ BẠN KHI HOẠN NẠN!
-Scoutmaster Myres,-Trưởng Hướng Đạo Myres
RULE 1,QUY TẮC SỐ 1
KEEP MOVING!,<size\=45\>LUÔN TIẾN LÊN!</size>
"First things first: you've gotta get to HIGH GROUND if you wanna be spotted. Nobody ever got rescued off of a mysterious island by loitering around on the beach. So find the nearest peak, and start making your way there.","Việc đầu tiên và quan trọng nhất: Nếu muốn người khác phát hiện thì bạn phải leo lên THẬT CAO. Chưa từng có ai được cứu khỏi một hòn đảo bí ẩn mà chỉ quanh quẩn trên bãi biển. Nên hãy tìm đỉnh núi gần nhất, và tìm đường lên đó."
"r:""^(.+)LOOK AROUND$""",$1QUAN SÁT
"r:""^(.+)WALK$""",$1ĐI LẠI
"Time is of the essence in the wilderness, so get running towards your destination!","Thời gian là vàng trong thế giới hoang dã, hãy chạy nước rút tới đích!"
"r:""^(.+)SPRINT$""",$1CHẠY
"See a gap in the trail, or a prickly thorn? Go ahead and JUMP over it!","Thấy một khoảng trống trên đường, hay một cành gai nhọn? Cứ NHẢY phăng qua nó!"
Keep in mind that jumping while sprinting will tire you out quickly! Take a quick rest if you need to - you won't do anyone any favors by passing out on the mountain!,"Hãy nhớ rằng việc nhảy trong khi chạy sẽ nhanh chóng làm bạn kiệt sức! Nghỉ ngơi để lấy sức nếu thấy cần thiết - bạn sẽ không giúp được ai nếu xỉu trên núi đâu！"
RULE 2,QUY TẮC SỐ 2
KEEP MOVING (UP)! ,<size\=45>LUÔN TIẾN (LÊN)!</size>
"Obviously, you're not going to make it up a mountain without climbing.","\tHiển nhiên là chẳng ai có thể lên được đỉnh núi mà không leo."
"You can climb almost any surface, so long as you have the stamina!","Bạn có thể bám và leo hầu như mọi bề mặt, miễn là bạn có đủ thể lực!"
"r:""^HOLD(.+)EMPTY-HANDED: GRAB WALL$""",GIỮ$1TAY TRỐNG: BÁM TƯỜNG
"r:""^(.+)IN AIR: GRAB WALL$""",$1  TRONG KHÔNG TRUNG: BÁM TƯỜNG
"r:""^(.+)WHILE CLIMBING: LUNGE$""",$1 ĐANG LEO: LAO VỀ TRƯỚC
RULE 3,QUY TẮC SỐ 3
ALWAYS LEND A HAND!,<size\=45>Luôn giang tay giúp đỡ！</size>
Nothing is more important than sticking together as a team!,Không có gì\nquan trọng    hơn việc đoàn kết trong một tập thể!
"When your hands are empty, reach out to a friend who's mid-climb and help them reach the next ledge safely!","Khi tay bạn trống, đưa tay cho một người bạn đang leo để kéo họ lên an toàn！"
"r:""^(.+) EMPTY-HANDED: HELP UP FRIEND$""",<size\=85%\>$1</size>TAY TRỐNG: GIÚP BẠN
"You can help from below, too! Crouch down and let a fellow scout stand on your head, then jump to give them a boost!","Bạn cũng có thể giúp họ từ phía dưới! Cúi xuống và để một người bạn đứng trên đầu bạn, sau đó nhảy lên để đẩy họ lên cao hơn"
RULE 4,QUY TẮC SỐ 4
"STAY ALERT, STAY ALIVE!","<size\=45>GIỮ CẢNH GIÁC,\n\nGIỮ MẠNG!</size>"
"r:""^	An effective scout keeps an eye on their(.+)$","\tMột hướng đạo sinh lành nghề sẽ luôn để ý tới<color\=#0f7f00>Thanh Thể Lực</color> của mình. Nếu hết thể lực, bạn sẽ tạm thời không thể chạy nhảy, và quan trọng nhất, là leo trèo.\n\nTệ nhất là bạn có thể ngã từ trên núi！"
RULE 5,QUY TẮC SỐ 5
LIFE IS PAIN!,<size\=45>ĐỜI ĐẦY ĐAU THƯƠNG</size>
"r:""^	As you make your way through the untamed wilderness(.+)$""","Khi vượt qua vùng hoang dã, bị trầy xước hay va chạm là điều không thể tránh khỏi.\n\n\Chấn thương của bạn càng nghiêm trọng, bạn càng có ít<color\=#0f7f00>Thể Lực</color> để chạy nhảy và leo trèo. Vì vậy, hãy băng bó vết thương hoặc dùng thảo dược càng sớm càng tốt!"
RULE 6,QUY TẮC SỐ 6
STAY HUNGRY,<size\=50>ĐỂ BỤNG RÉO</size>\n
\n<size\,"30>(ACTUALLY, DON'T!)= \n<size\=25>\n(CHỚ NÊN!)"
"r:""^	Getting hurt isn't the only way for your(.+)$""","Chấn thương không phải là điều duy nhất khiến <color\=#0f7f00>Thể Lực</color> của bạn xuống dốc. Trong khi leo núi, bạn sẽ cảm thấy <color\=#b58200>Đói</color>, và khi đó 10/10 chuyên gia sẽ khuyên bạn nên ăn uống.\n\nHãy cẩn thận khi ăn thực vật hoang dã! Chúng có thể đầu độc bạn và phá hỏng cả ngày của bạn. Nếu được lựa chọn, hãy ăn đồ ăn nhẹ đóng gói từ các nhà sản xuất bạn tin tưởng."
