key,value
TENDERFOOT,TÂN BINH
CLIMBING TAKES LESS STAMINA. HUNGER GROWS MORE SLOWLY. NO TIME LIMIT.,LEO TRÈO TỐN ÍT THỂ LỰC HƠN. ĐÓI BỤNG CHẬM HƠN. KHÔNG GIỚI HẠN THỜI GIAN.
PEAK,ĐỈNH PEAK
THE ISLAND'S DEFAULT DIFFICULTY.,ĐỘ KHÓ MẶC ĐỊNH CỦA ĐẢO.
"r:""^ASCENT (\d+)$""",VƯỢT DỐC $1
\n\n<alpha\,
FALL DAMAGE IS GREATER.,SÁT THƯƠNG RƠI LỚN HƠN.
HUNGER GROWS FASTER.,ĐÓI BỤNG NHANH HƠN.
ITEMS HAVE INCREASED WEIGHT.,VẬT PHẨM NẶNG HƠN.
THERE ARE NO FLARES ATOP THE PEAK.,KHÔNG CÒN LỬA TRẠI Ở ĐỈNH.
THE NIGHT IS COLD.,ĐÊM TRỞ LẠNH.
CLIMBING TAKES ADDITIONAL STAMINA.,LEO TRÈO TỐN THÊM THỂ LỰC.
YOU CANNOT REVIVE THE DEAD.,BẠN KHÔNG THỂ HỒI SINH NGƯỜI CHẾT.
"r:""^ASCENT (\d+) UNLOCKED!$""",VƯỢT DỐC MỨC $1 ĐÃ ĐƯỢC MỞ KHÓA!
ASCENTS UNLOCKED,ĐÃ MỞ KHÓA VƯỢT DỐC
PRESS ANY BUTTON TO CONTINUE,NHẤN NÚT BẤT KỲ ĐỂ TIẾP TỤC
REWARD:,PHẦN THƯỞNG：
START,BẮT ĐẦU
