key,value
GATE KIOSK,QUẦY THỦ TỤC
BOARD FLIGHT,CẤT CÁNH
board flight,cất cánh
BOARDING PASS,VÉ MÁY BAY
PASSENGER:,HÀNH KHÁCH:
GATE:,CỔNG: 
FROM:,TỪ：
TO:,TỚI：
Version out of date,Phiên bản lỗi thời
Okay,Được
Ready for a greater challenge? Ascents add modifiers that make summiting the PEAK more difficult.\n\nSet your Ascent Level at the Airport Kiosk!,Sẵn sàng tiếp nhận thử thách lớn hơn chưa？Vượt Dốc sẽ khiến hành trình lên đỉnh của bạn thêm thử thách.\n\n Thiết lập Mức Độ Vượt Dốc tại Quầy Lên Máy Bay！
Header Field,Trường Tiêu Đề
subheader subheader subheader,Tiêu đề Phụ Tiêu Đề Phụ Tiêu Đề
DEV_MESSAGE, THÔNG BÁO CỦA NHÀ PHÁT TRIỂN
Option A,Tùy Chọn A
Prompt,Lời Nhắc
Bingus,Bingus
afternoon,chiều
night,đêm
morning,sáng
CRABLAND,ĐẢO CUA
HOST GAME,CHỦ PHÒNG
PLAY OFFLINE,NGOẠI TUYẾN
SETTINGS\n,CÀI ĐẶT\n
CREDITS,CREDIT
QUIT,THOÁT
NEW ISLAND IN,<size\=80%>ĐẢO MỚI TRONG
r:(\d+)h (\d+)m (\d+)s,<size\=80%>$1h$2m$3s
r:(\d+)h(\d+)h(\d+)h,<size\=80%>$1h$2h$3h
NO DATA,<size\=90%\>KHÔNG CÓ DỮ LIỆU
A GAME MADE BY,MỘT TỰA GAME BỞI
A COLLAB BETWEEN,HỢP TÁC GIỮA
THANKS FOR PLAYING!,CẢM ƠN BẠN ĐÃ CHƠI!
RESUME,TIẾP TỤC
LEAVE GAME\n,RỜI PHÒNG\n
INVITE FRIENDS,<size\=85%>MỜI BẠN
CONTROLS,ĐIỀU KHIỂN
wear\nbackpack,đeo\nba lô
open,mở
eat,ăn
drink,uống
use\n,dùng\n
throw,ném
zoom,thu phóng
LOC: zoom,thu phóng
drop,bỏ
hold\n,nhấn giữ\n
pick up,nhặt
grab,nắm
cook,nướng
give up,bỏ cuộc
lunge,chạy lao
MOVE,DI CHUYỂN
AIM\n,NHẮM\n
CLIMB\n,TRÈO\n
HELPING HAND,GIÚP MỘT TAY
INTERACT,TƯƠNG TÁC
DROP / THROW (HOLD),BỎ / NÉM (NHẤN GIỮ)
JUMP\n,NHẢY\n
CROUCH\n,NGỒI XUỐNG\n
SPRINT / LEAP (WHILE CLIMBING)\n,CHẠY NHANH / LAO LÊN (KHI TRÈO)\n
PING LOCATION\n,Đánh dấu vị trí\n
EMOTE\n,Biểu tượng cảm xúc\n
Apply,Áp dụng
light lantern,thắp đèn lồng
LOC: LIGHT LANTERN,thắp đèn lồng
snuff lantern,tắt đèn lồng
LOC: SNUFF LANTERN,TẮT ĐÈN LỒNG
light,thắp sáng
extinguish,dập
spool,cuộn
tie knot,buộc dây
heal injuries,chữa trị
lick,liếm
inspect,kiểm tra
open,mở
set piton,đặt neo đá
set,đặt
shoot,bắn
fire,phóng
Remove tick,gỡ ve
heat up,làm nóng
look,nhìn
plant,cắm
commune,giao tiếp
open?,mở?
revive,hồi sinh
warp,dịch chuyển
play,chơi
Stove,bếp
place,đặt
flame,lửa
FLAME,LỬA
CAMPFIRE,LỬA TRẠI
touch,chạm
tie down,buộc
LOC: TIE DOWN,BUỘC
spray,xịt
